Model,MAE,R2,TrainTime
LinearRegression,6553340.621390529,0.9079968787691232,0.066802978515625
DecisionTree,385810.7942939201,0.9895177524383116,0.04700732231140137
RandomForest,1075418.2002855975,0.9873209485516159,0.7163677215576172
SVR,1630156.081928489,0.9854602259102168,6.677804470062256
